"AggregationMinutes","Preprocessing","Minutes","Hours","MAE_Train","MAE_Test","RMSE_Train","RMSE_Test","MAPE_Train","MAPE_Test","R_Squared","EVS","ExecutionTime"
15,"Yes",60,1,0.942984049411708,3.21253473569164,1.56676996519853,4.62616336108701,7.88284107290099,24.4035226693273,0.765374403428431,0.765815357951173,7707.15088105202
15,"Yes",120,2,0.916313108682535,4.72037039855382,1.51852388775537,6.48605418224532,7.67563182442195,35.962439499003,0.538794364755869,0.539525767141173,7707.15088105202
15,"Yes",180,3,0.879804781900762,5.67490043747375,1.44500335510529,7.65260607090089,7.73559418537376,43.5984282787708,0.357974649796835,0.358576771891736,7707.15088105202
15,"Yes",360,6,0.929478605066123,7.37570425413023,1.52465245499561,9.87498416180462,8.1470040742137,59.8802240828481,-0.069070328232927,0,7707.15088105202
15,"Yes",720,12,0.890602069412566,8.2080060680692,1.4496556853576,11.015260783124,8.46513128293556,71.1972439513382,-0.330218634200912,0,7707.15088105202
15,"Yes",1440,24,0.909145788661323,8.9166425228301,1.51174713684415,12.1642966320483,7.70946900800252,77.4470820453251,-0.622211458210226,0,7707.15088105202
15,"Yes",2160,36,0.88186913085342,10.64447069068,1.45228015254447,13.8006017877249,7.58270330930161,97.9598330229439,-1,0,7707.15088105202
15,"Yes",2880,48,0.958208262004754,11.165261530387,1.56603378745667,14.2158931129297,8.95383971797591,99.4205660941344,-1,0,7707.15088105202
15,"Yes",4320,72,0.903678209233901,10.6271394017878,1.46139099944332,13.4391650379995,8.47295225985527,93.864431088869,-0.98005856169138,0,7707.15088105202
15,"No",60,1,485.947903937676,5380.65534807101,635.07930252656,5383.6433086587,17.6456951789475,50526.6440489466,-1,0,15601.6871550083
15,"No",120,2,394.355996175181,5683.58665895603,499.866432407801,5689.89742501343,17.5657971208446,53406.5852966323,-1,0,15601.6871550083
15,"No",180,3,410.044117508712,5533.32881124927,524.382539270451,5542.5376443926,19.8846501642389,52028.7994271761,-1,0,15601.6871550083
15,"No",360,6,678.009086371182,5170.51404060563,861.070260719512,5205.71511759621,36.4855647313309,48804.3795661751,-1,0,15601.6871550083
15,"No",720,12,663.627616027503,4853.86082059299,889.694707244448,4886.37241765607,21.6790125916298,45910.636419443,-1,0,15601.6871550083
15,"No",1440,24,785.369094071522,4240.90489336589,1056.74065640087,4298.31786064405,29.0968128735273,40310.3751424677,-1,0,15601.6871550083
15,"No",2160,36,559.000105175021,5208.67428406502,714.591230405839,5315.86010502305,21.2035603849097,49589.9064910796,-1,0,15601.6871550083
15,"No",2880,48,569.553103794946,4539.96901117393,781.147396987777,4665.88158015774,23.7979852385274,42954.999791697,-1,0,15601.6871550083
15,"No",4320,72,523.335761723367,4454.75540092712,738.628961022036,4644.15044072433,18.5551588501406,42110.6214433836,-1,0,15601.6871550083
30,"Yes",60,1,1.2341612796303,3.44697387039491,2.0107636321874,4.9100076426024,10.0695824569636,26.6580668535301,0.733677126672675,0.73413995530522,4099.83266997337
30,"Yes",120,2,1.40859755711179,4.81508097693128,2.23301299390063,6.51550625087004,11.1992228563542,37.9807657084269,0.531034965904876,0.533347406023941,4099.83266997337
30,"Yes",180,3,1.39204220850016,5.61531714955784,2.2477771472425,7.55285797553092,11.0308866991687,44.4110888112866,0.36981687711088,0.37070262769721,4099.83266997337
30,"Yes",360,6,1.36901015686663,7.29228453558119,2.18496127368392,9.87041203755984,11.7766913788704,58.8563950732214,-0.076253796856359,0,4099.83266997337
30,"Yes",720,12,1.49340050003717,7.99126731898083,2.36628306918874,10.7318215974474,11.1748926638533,69.0845387330584,-0.272304374664785,0,4099.83266997337
30,"Yes",1440,24,1.50246779588418,8.61489781433274,2.34345114545236,11.7125636544609,11.5590796815316,75.0675908315248,-0.515472499408189,0,4099.83266997337
30,"Yes",2160,36,1.24785244382298,10.7695014598831,2.05413249731828,14.0967314343437,10.2841908079731,99.5894736461691,-1,0,4099.83266997337
30,"Yes",2880,48,1.34632949959355,11.1275347207071,2.2221335396877,14.164878265522,10.7434385612547,98.4924303014525,-1,0,4099.83266997337
30,"Yes",4320,72,1.37980242216202,10.4842541043502,2.25372216188828,13.2695479880033,10.8084412235403,93.2557620824859,-0.945164747709103,0,4099.83266997337
30,"No",60,1,335.584353063548,1683.60835286439,455.105280177611,1844.85573269453,21.8984432225907,15480.2213962542,-1,0,12944.3365819454
30,"No",120,2,445.605261910669,1843.84233232394,608.164390508604,1878.75810539092,42.4695330457622,17094.4279034019,-1,0,12944.3365819454
30,"No",180,3,410.937039890141,1923.27945480002,592.658727394169,1926.44762138002,23.3182787053409,18050.9990736378,-1,0,12944.3365819454
30,"No",360,6,344.518909817759,2300.12313875012,455.833064982621,2307.70132232322,26.3490972836837,21623.0186299128,-1,0,12944.3365819454
30,"No",720,12,372.287550229666,2128.14201582042,510.603011727932,2142.1977423242,27.4969993450723,20083.7238163601,-1,0,12944.3365819454
30,"No",1440,24,434.614308269814,1796.14766538262,600.036730052235,1830.05029552534,26.0913796187563,17072.7568997056,-1,0,12944.3365819454
30,"No",2160,36,327.38750392395,2142.66703096358,454.386938022235,2186.30590842717,30.1276631007061,20379.7597031803,-1,0,12944.3365819454
30,"No",2880,48,371.150682955605,1936.80581046719,530.36588429598,1989.88856676482,29.7638259082034,18300.8442525343,-1,0,12944.3365819454
30,"No",4320,72,452.349975960779,1851.46268520877,604.676758728241,1929.31827868657,34.6955581611391,17468.9166434346,-1,0,12944.3365819454
60,"Yes",60,1,1.84952236458125,3.93039544396043,2.80351749445177,5.32863427443563,16.8350135307817,32.2710111767998,0.680345244505766,0.682467061950352,6667.43683505058
60,"Yes",120,2,1.78309282905486,4.94637122429973,2.76632732756288,6.73729606767099,14.0690670334085,38.1316944405375,0.489000344497901,0.489438519938996,6667.43683505058
60,"Yes",180,3,1.91060926116574,5.99017626660941,2.98959323087624,8.05100881156603,16.2071769298045,47.649991196723,0.270290591345453,0.278721617556797,6667.43683505058
60,"Yes",360,6,1.80718859508673,7.28119290904568,2.78163909878626,9.83758799027492,15.3323214417732,60.4389414789079,-0.0894984123307039,0,6667.43683505058
60,"Yes",720,12,1.85603414764795,8.02827639544532,2.80788990130725,10.8753295378564,16.1813691631822,69.3897264110081,-0.331478607526166,0,6667.43683505058
60,"Yes",1440,24,1.91189236521802,8.77543042799077,3.01175785043798,11.7886814624972,15.1728115577437,76.1958723251763,-0.564515275823292,0,6667.43683505058
60,"Yes",2160,36,1.81786533493821,10.2380017434739,2.77057515691382,13.4100447822157,16.5535661241715,93.4603792572234,-1,0,6667.43683505058
60,"Yes",2880,48,1.88045238133328,11.3154114743486,2.91428173217815,14.3133614579831,14.7300976919044,101.983886588986,-1,0,6667.43683505058
60,"Yes",4320,72,1.88689712072854,10.2085866796519,2.89626592869779,12.9946629836717,16.8167455191024,90.6334597125,-0.900988033991972,0,6667.43683505058
60,"No",60,1,348.984918267877,642.707650627671,482.823365419616,643.170649676947,32.9491189482373,6006.73316325201,-1,0,9906.35958480835
60,"No",120,2,328.870381397098,683.518196066564,454.724631882983,684.453124949457,31.1580366537776,6377.3464843389,-1,0,9906.35958480835
60,"No",180,3,226.599808784004,774.877886198068,316.084740651915,803.047994626308,28.2133299225528,7211.62922005053,-1,0,9906.35958480835
60,"No",360,6,554.335979074472,329.277179486999,708.485587405498,330.370376888529,52.8912337897967,3105.81640390307,-1,0,9906.35958480835
60,"No",720,12,310.105556650706,696.288506910122,432.323961664205,701.463391054536,33.4466615435498,6538.80519445696,-1,0,9906.35958480835
60,"No",1440,24,319.214494092328,681.752200607003,446.776081861548,690.550103923587,30.6798376277476,6433.76051335227,-1,0,9906.35958480835
60,"No",2160,36,327.355236138238,675.274692181831,425.811455588078,694.704213580717,55.8911427882224,6310.17058501864,-1,0,9906.35958480835
60,"No",2880,48,289.469356672041,666.503339761787,398.270221666324,704.840006959403,34.1562038285867,6065.48338016904,-1,0,9906.35958480835
60,"No",4320,72,457.607382270882,429.865728719669,607.211037536286,447.09560401002,46.4892258050229,4049.89617232079,-1,0,9906.35958480835
120,"Yes",60,1,2.69332727310445,5.50767734958325,3.90416603503135,7.35519981089566,24.1167961527045,47.7573616317857,0.3716421440655,0.395699952638479,4766.81778693199
120,"Yes",120,2,3.59256756574649,5.34984946179859,5.17227985390009,7.15939234488359,24.4430563615551,41.4584272232877,0.404652650179907,0.412017317740134,4766.81778693199
120,"Yes",180,3,2.50622500638495,6.54662861653072,3.62469681209661,8.99814575919891,22.7642112128346,54.9201083553227,0.0595750416520351,0.0782923313799474,4766.81778693199
120,"Yes",360,6,2.59151424490646,7.65953363443329,3.74435466695125,10.2303126086172,22.8353127534323,66.8663535526605,-0.215614601571824,0,4766.81778693199
120,"Yes",720,12,2.64519106034375,7.82616349275129,3.80456931523356,10.7721313232185,25.2908064533332,68.516498092837,-0.347787354072143,0,4766.81778693199
120,"Yes",1440,24,3.24578348542982,8.87196327895133,4.74220348170716,11.9204117837291,23.8808640644664,76.9112515545546,-0.650443322412533,0,4766.81778693199
120,"Yes",2160,36,3.16800123474218,9.93589691555227,4.60176974781244,13.0832080042458,24.8530359902961,88.3720259757784,-0.988138295997503,0,4766.81778693199
120,"Yes",2880,48,2.68339071354076,10.607582644956,3.89475587536246,13.4637182249998,22.9066159856148,95.0089669606365,-1,0,4766.81778693199
120,"Yes",4320,72,3.0075663995484,9.92615951507933,4.37169242243535,12.6957981899415,22.7723811913842,88.2027502908361,-0.872139124308372,0,4766.81778693199
120,"No",60,1,245.700701086205,204.058750795101,320.022082372881,204.484636104557,49.4781080611913,1903.36026449998,-1,0,5210.56899905205
120,"No",120,2,230.599870819643,223.031471294415,305.778579064936,223.460653449678,43.9761694413023,2076.17969929395,-1,0,5210.56899905205
120,"No",180,3,290.573338244335,159.03086825327,356.272780460988,159.609297271451,85.4567870256749,1494.09329783368,-1,0,5210.56899905205
120,"No",360,6,239.887526459292,212.112804785098,313.441230813978,212.929292258987,46.7230296021572,1979.90056913016,-1,0,5210.56899905205
120,"No",720,12,217.243739098239,239.583901742955,291.897274473325,241.104529972263,39.3656344239195,2237.96372712528,-1,0,5210.56899905205
120,"No",1440,24,276.758929774273,160.99973455659,346.06759137288,163.926207975411,74.4888079678615,1512.67756218927,-1,0,5210.56899905205
120,"No",2160,36,186.660632921701,283.45327620606,255.577374197057,288.697716081305,34.7827591483671,2661.01143098114,-1,0,5210.56899905205
120,"No",2880,48,226.80515142234,222.090780329204,298.476193219838,227.582360380948,47.2881835150434,2080.84448438845,-1,0,5210.56899905205
120,"No",4320,72,195.916150315986,248.819461679326,267.413926824376,259.873151671876,36.3356507037167,2281.85700246019,-1,0,5210.56899905205
